contig	genus	size	category-pident_90	rep_type(s)	relaxase_type(s)	mpf_type	orit_type(s)	predicted_mobility	AMR_type
GCF_030389775.1-NZ_CP128951.1	Escherichia	655459	intermediate replicon	-	-	-	-	non-mobilizable	non-AMR
GCF_018279585.1-NZ_CP034659.1	Escherichia	454520	typical plasmid	IncHI1B,IncY,rep_cluster_1304	MOBH	MPF_F	-	conjugative	non-AMR
GCF_026967655.1-NZ_CP114132.1	Escherichia	438722	intermediate replicon	-	MOBP	-	-	mobilizable	non-AMR
GCF_029636785.1-NZ_CP049111.1	Escherichia	436531	typical plasmid	IncC,IncHI2A,IncN,rep_cluster_1088	MOBH,MOBH,MOBH	MPF_F	MOBH,MOBH	conjugative	AMR
GCF_021484785.1-NZ_CP090612.1	Escherichia	420355	intermediate replicon	-	-	-	-	non-mobilizable	non-AMR
GCF_021498045.1-NZ_CP054192.1	Escherichia	407456	typical plasmid	IncFIB,IncFIC,IncHI2A,rep_cluster_1088,rep_cluster_2244	MOBF,MOBH	MPF_F	MOBF,MOBH	conjugative	AMR
GCF_013340825.1-NZ_AP023206.1	Escherichia	404189	intermediate replicon	-	-	-	-	non-mobilizable	non-AMR
GCF_025369875.1-NZ_CP104504.1	Escherichia	390109	typical plasmid	IncFIA,IncFIB,IncFII,IncHI2A,rep_cluster_1088	MOBF,MOBH	MPF_F	MOBF,MOBH	conjugative	AMR
GCF_034643255.1-NZ_CP141085.1	Escherichia	385579	intermediate replicon	-	-	-	-	non-mobilizable	non-AMR
GCF_904831825.1-NZ_LR882998.1	Escherichia	381858	typical plasmid	IncFIA,IncFIA,IncFIB,IncFIC,IncFII	MOBF,MOBP	MPF_F	MOBF,MOBF,MOBP	conjugative	non-AMR
GCF_032300135.1-NZ_CP135245.1	Escherichia	373462	intermediate replicon	-	-	-	-	non-mobilizable	non-AMR
GCF_020091645.1-NZ_CP083586.1	Escherichia	372134	typical plasmid	IncHI2A,IncY,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_001936315.1-NZ_CP017632.1	Escherichia	369298	typical plasmid	IncHI2A,IncN,IncY,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_040030455.2-NZ_CP157326.2	Escherichia	360666	typical plasmid	IncFIB,IncFII,IncHI1B,IncU,rep_cluster_1418,rep_cluster_2183	MOBF,MOBF,MOBH	MPF_F	-	conjugative	AMR
GCF_045689925.1-NZ_CP142705.1	Escherichia	354983	typical plasmid	IncFIA,IncFIB,IncFIC,rep_cluster_2244	MOBF,MOBH,MOBP	MPF_F	MOBF	conjugative	AMR
GCF_045689925.1-NZ_CP142706.1	Escherichia	354983	typical plasmid	IncFIA,IncFIB,IncFIC,rep_cluster_2244	MOBF,MOBH,MOBP	MPF_F	MOBF	conjugative	AMR
GCF_045037415.1-NZ_CP173440.1	Escherichia	353276	typical plasmid	IncFIB,IncHI1B,rep_cluster_1254	MOBH	MPF_F	-	conjugative	AMR
GCF_020181535.1-NZ_CP084027.1	Escherichia	351436	typical plasmid	IncFIB,IncFII,IncFII,IncHI1B,IncR,IncU	MOBF,MOBF	MPF_F	-	conjugative	AMR
GCF_016806025.1-NZ_CP019360.1	Escherichia	349248	typical plasmid	IncFIB,IncFIC,IncHI2A,rep_cluster_1088,rep_cluster_2232	MOBF,MOBH,MOBP	MPF_F	MOBF,MOBH	conjugative	AMR
GCF_028609765.1-NZ_CP053663.1	Escherichia	340412	typical plasmid	IncC,IncFIA,IncFIB,IncFII,rep_cluster_2131	MOBF,MOBH,MOBH,MOBP	MPF_F	MOBF,MOBH	conjugative	AMR
GCF_038396395.1-NZ_CP147131.1	Escherichia	330024	typical plasmid	Col(VCM04)	MOBH	MPF_T	-	conjugative	non-AMR
GCF_016774415.1-NZ_CP068707.1	Escherichia	324396	typical plasmid	IncFIB	MOBH	MPF_F	-	conjugative	AMR
GCF_041320135.1-NZ_CP100967.1	Escherichia	323994	typical plasmid	IncHI2A,IncY,rep_cluster_1088	MOBC	MPF_F	-	conjugative	AMR
GCF_043950225.1-NZ_CP171638.1	Escherichia	323922	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_013425935.1-NZ_CP059044.1	Escherichia	315984	typical plasmid	IncFIA,IncFIB,IncFIC,IncHI1A	MOBF,MOBH	MPF_F	MOBF	conjugative	AMR
GCF_003342715.1-NZ_CP031135.1	Escherichia	310064	typical plasmid	IncHI1A,IncP	MOBH,MOBP	MPF_F	-	conjugative	non-AMR
GCF_041320215.1-NZ_CP101002.1	Escherichia	306446	typical plasmid	IncHI1B,IncQ1,rep_cluster_2358	MOBH,MOBP	MPF_F	-	conjugative	AMR
GCF_041320185.1-NZ_CP100988.1	Escherichia	306303	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_009949145.1-NZ_CP041417.1	Escherichia	306181	intermediate replicon	-	-	-	-	non-mobilizable	non-AMR
GCF_041320175.1-NZ_CP100982.1	Escherichia	304974	typical plasmid	IncFIA,IncQ1	MOBH	MPF_F	-	conjugative	AMR
GCF_041316645.1-NZ_CP100884.1	Escherichia	304596	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_019969505.1-NZ_CP081768.1	Escherichia	303843	typical plasmid	IncFIB,IncHI1B,rep_cluster_1304	MOBC,MOBH,MOBP	MPF_F	-	conjugative	non-AMR
GCF_019969565.1-NZ_CP081691.1	Escherichia	303843	typical plasmid	IncFIB,IncHI1A,rep_cluster_1304	MOBC,MOBH,MOBP	MPF_F	-	conjugative	non-AMR
GCF_019969525.1-NZ_CP081685.1	Escherichia	303841	typical plasmid	IncFIB,IncHI1B,rep_cluster_1304	MOBC,MOBH,MOBP	MPF_F	-	conjugative	non-AMR
GCF_019969485.1-NZ_CP081678.1	Escherichia	303841	typical plasmid	IncFIB,IncHI1A,rep_cluster_1304	MOBC,MOBH,MOBP	MPF_F	-	conjugative	non-AMR
GCF_019969585.1-NZ_CP081783.1	Escherichia	303840	typical plasmid	IncFIB,IncHI1B,rep_cluster_1304	MOBC,MOBH,MOBP	MPF_F	-	conjugative	non-AMR
GCF_019969545.1-NZ_CP081775.1	Escherichia	303839	typical plasmid	IncFIB,IncHI1A,rep_cluster_1304	MOBC,MOBH,MOBP	MPF_F	-	conjugative	non-AMR
GCF_017639105.1-NZ_CP067266.1	Escherichia	303836	typical plasmid	Col(VCM04),IncFII	MOBH	MPF_T	-	conjugative	non-AMR
GCF_034334925.2-NZ_CP139658.2	Escherichia	303612	typical plasmid	IncFIB,IncHI1B,IncL/M	MOBP	MPF_I	-	conjugative	AMR
GCF_034336645.2-NZ_CP139666.2	Escherichia	303604	typical plasmid	IncFIB,IncHI1B,IncL/M	MOBP	MPF_I	-	conjugative	AMR
GCF_034335725.2-NZ_CP139662.2	Escherichia	303604	typical plasmid	IncFIB,IncHI1B,IncL/M	MOBP	MPF_I	-	conjugative	AMR
GCF_041320225.1-NZ_CP101006.1	Escherichia	301818	typical plasmid	IncFIA,IncQ1,rep_cluster_2358	MOBH,MOBP	MPF_F	-	conjugative	AMR
GCF_041319985.1-NZ_CP100910.1	Escherichia	301613	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_047115185.1-NZ_CP119720.1	Escherichia	301353	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_904863445.1-NZ_LR890350.1	Escherichia	300631	typical plasmid	IncHI1A	MOBH	MPF_F	-	conjugative	non-AMR
GCF_022559875.1-NZ_CP091757.1	Escherichia	298935	typical plasmid	IncFIB,IncFIB,IncFII,IncFII,rep_cluster_2183	MOBF,MOBF	MPF_F	-	conjugative	AMR
GCF_047946685.1-NZ_CP159530.1	Escherichia	298830	intermediate replicon	-	-	-	-	non-mobilizable	non-AMR
GCF_002903105.1-NZ_CP026208.1	Escherichia	298633	typical plasmid	IncHI1A,IncP	MOBH,MOBP	MPF_F	-	conjugative	non-AMR
GCF_023370135.1-NZ_CP097199.1	Escherichia	298559	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_036504395.1-NZ_AP027784.1	Escherichia	294708	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_001007915.1-NZ_CP011417.1	Escherichia	293826	typical plasmid	IncFIA	MOBF,MOBF,MOBP	MPF_F	MOBF	conjugative	non-AMR
GCF_017639165.1-NZ_CP067312.1	Escherichia	293362	typical plasmid	Col(VCM04)	MOBH	-	-	mobilizable	non-AMR
GCF_026074175.1-NZ_AP026903.1	Escherichia	291417	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_018323825.1-NZ_AP024583.1	Escherichia	291362	typical plasmid	IncHI2A,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_001969285.3-NZ_CP019214.3	Escherichia	289260	typical plasmid	IncHI2A,IncN,rep_cluster_1088	MOBH	MPF_F	MOBH	conjugative	AMR
GCF_033802425.1-NZ_CP138398.1	Escherichia	288082	typical plasmid	IncHI1B	MOBH	MPF_F	-	conjugative	AMR
