contig	genus	size	category-pident_90	chromid	ref_data
GCF_000512125.1-NZ_CP007025.1	Escherichia	4701875	typical chromosome	No	
GCF_000597845.1-NZ_CP007265.1	Escherichia	4758629	typical chromosome	No	
GCF_000599625.1-NZ_CP007390.1	Escherichia	4807977	typical chromosome	No	
GCF_000599645.1-NZ_CP007391.1	Escherichia	4875682	typical chromosome	No	
GCF_000599665.1-NZ_CP007392.1	Escherichia	5054509	typical chromosome	No	
GCF_000599685.1-NZ_CP007393.1	Escherichia	4998910	typical chromosome	No	
GCF_000599705.1-NZ_CP007394.1	Escherichia	5090442	typical chromosome	No	
GCF_000784925.1-NZ_CP009859.1	Escherichia	5310511	typical chromosome	No	
GCF_000784925.1-NZ_CP009861.1	Escherichia	47560	typical plasmid	No	
GCF_000784925.1-NZ_CP009862.1	Escherichia	80186	typical plasmid	No	
GCF_000784925.1-NZ_CP009860.1	Escherichia	121385	typical plasmid	No	
GCF_000801165.1-NZ_CP009104.1	Escherichia	4827630	typical chromosome	No	
GCF_000801165.1-NZ_CP009105.1	Escherichia	168318	typical plasmid	No	
GCF_000801185.2-NZ_CP009106.2	Escherichia	4884464	typical chromosome	No	
GCF_000801185.2-NZ_CP009107.1	Escherichia	161447	typical plasmid	No	
GCF_000814145.2-NZ_CP010371.1	Escherichia	4761012	typical chromosome	No	
GCF_000814145.2-NZ_CP010372.1	Escherichia	151583	typical plasmid	No	
GCF_000814145.2-NZ_CP010373.2	Escherichia	193908	typical plasmid	No	
GCF_000819645.1-NZ_CP010315.1	Escherichia	5017219	typical chromosome	No	
GCF_000819645.1-NZ_CP010317.1	Escherichia	106397	typical plasmid	No	
GCF_000819645.1-NZ_CP010318.1	Escherichia	4599	typical plasmid	No	
GCF_000819645.1-NZ_CP010316.1	Escherichia	144859	typical plasmid	No	
GCF_000830035.1-NZ_CP010585.1	Escherichia	4557511	typical chromosome	No	
GCF_000833145.1-NZ_CP010816.1	Escherichia	4528118	typical chromosome	No	
GCF_000833635.2-NZ_CP011124.1	Escherichia	4502758	typical chromosome	No	
GCF_000931565.1-NZ_CP010876.1	Escherichia	5010884	typical chromosome	No	
GCF_000931565.1-NZ_CP010877.1	Escherichia	1506	typical plasmid	No	
GCF_000931565.1-NZ_CP010878.1	Escherichia	4088	typical plasmid	No	
GCF_000931565.1-NZ_CP010879.1	Escherichia	5167	typical plasmid	No	
GCF_000931565.1-NZ_CP010880.1	Escherichia	30855	typical plasmid	No	
GCF_000931565.1-NZ_CP010881.1	Escherichia	116803	typical plasmid	No	
GCF_000931565.1-NZ_CP010882.1	Escherichia	122966	typical plasmid	No	
GCF_000952955.1-NZ_LM995446.1	Escherichia	4585620	typical chromosome	No	
GCF_000953515.1-NZ_LM993812.1	Escherichia	4584860	typical chromosome	No	
GCF_000967155.2-NZ_HF572917.1	Escherichia	5277676	typical chromosome	No	
GCF_000967155.2-NC_022742.1	Escherichia	88546	typical plasmid	No	
GCF_000967155.2-NC_022743.1	Escherichia	75569	typical plasmid	No	
GCF_000967155.2-NC_022741.1	Escherichia	1549	typical plasmid	No	
GCF_000971615.1-NZ_CP011018.1	Escherichia	4885378	typical chromosome	No	
GCF_000971615.1-NZ_CP011019.1	Escherichia	207265	typical plasmid	No	
GCF_000987875.1-NZ_CP007594.1	Escherichia	5153435	typical chromosome	No	
GCF_001007915.1-NZ_CP011416.1	Escherichia	4947515	typical chromosome	No	
GCF_001007915.1-NZ_CP011417.1	Escherichia	293826	typical plasmid	No	
GCF_001007915.1-NZ_CP011418.1	Escherichia	47606	typical plasmid	No	
GCF_001021595.1-NZ_CP007275.1	Escherichia	5002781	typical chromosome	No	
GCF_001039415.1-NZ_CP011938.1	Escherichia	4501450	typical chromosome	No	
GCF_001043215.1-NZ_CP011495.1	Escherichia	4678046	typical chromosome	No	
GCF_001043215.1-NZ_CP011496.1	Escherichia	67545	typical plasmid	No	
GCF_001183645.1-NZ_CP012125.1	Escherichia	4614223	typical chromosome	No	
GCF_001183665.1-NZ_CP012126.1	Escherichia	4612363	typical chromosome	No	
GCF_001183685.1-NZ_CP012127.1	Escherichia	4609522	typical chromosome	No	
GCF_001276585.2-NZ_CP011113.2	Escherichia	4587291	typical chromosome	No	
GCF_001280325.1-NZ_CP012635.1	Escherichia	5048243	typical chromosome	No	
GCF_001280325.1-NZ_CP012636.1	Escherichia	149683	typical plasmid	No	
GCF_001280325.1-NZ_CP012637.1	Escherichia	5167	typical plasmid	No	
GCF_001280325.1-NZ_CP012638.1	Escherichia	3904	typical plasmid	No	
GCF_001280345.1-NZ_CP012625.1	Escherichia	5142799	typical chromosome	No	
GCF_001280345.1-NZ_CP012626.1	Escherichia	110808	typical plasmid	No	
GCF_001280345.1-NZ_CP012627.1	Escherichia	92766	typical plasmid	No	
GCF_001280345.1-NZ_CP012628.1	Escherichia	6647	typical plasmid	No	
GCF_001280345.1-NZ_CP012629.1	Escherichia	4072	typical plasmid	No	
GCF_001280345.1-NZ_CP012630.1	Escherichia	1551	typical plasmid	No	
GCF_001280385.1-NZ_CP012633.1	Escherichia	4910962	typical chromosome	No	
GCF_001280385.1-NZ_CP012634.1	Escherichia	114221	typical plasmid	No	
GCF_001280405.1-NZ_CP012631.1	Escherichia	5059732	typical chromosome	No	
GCF_001280405.1-NZ_CP012632.1	Escherichia	93074	typical plasmid	No	
GCF_001308125.1-NZ_CP012869.1	Escherichia	4641684	typical chromosome	No	
GCF_001308165.1-NZ_CP012870.1	Escherichia	4641689	typical chromosome	No	
GCF_001420935.1-NZ_CP013029.1	Escherichia	5202850	typical chromosome	No	
GCF_001420935.1-NZ_CP013028.1	Escherichia	74656	typical plasmid	No	
GCF_001420935.1-NZ_CP013030.1	Escherichia	97704	typical plasmid	No	
GCF_001420955.1-NZ_CP013025.1	Escherichia	5155368	typical chromosome	No	
GCF_001420955.1-NZ_CP013024.1	Escherichia	120611	typical plasmid	No	
GCF_001420955.1-NZ_CP013026.1	Escherichia	63800	typical plasmid	No	
GCF_001420955.1-NZ_CP013027.1	Escherichia	174564	typical plasmid	No	
GCF_001442495.1-NZ_CP013112.1	Escherichia	4863501	typical chromosome	No	
GCF_001469815.1-NZ_CP013658.1	Escherichia	5106662	typical chromosome	No	
GCF_001469815.1-NZ_CP013657.1	Escherichia	143748	typical plasmid	No	
GCF_001485455.1-NZ_CP008697.1	Escherichia	5056598	typical chromosome	No	
GCF_001485455.1-NZ_CP008715.1	Escherichia	120653	typical plasmid	No	
GCF_001485455.1-NZ_CP008716.1	Escherichia	5167	typical plasmid	No	
GCF_001485455.1-NZ_CP008717.1	Escherichia	4237	typical plasmid	No	
GCF_001485455.1-NZ_CP008718.1	Escherichia	4073	typical plasmid	No	
GCF_001485455.1-NZ_CP008719.1	Escherichia	2101	typical plasmid	No	
GCF_001485455.1-NZ_CP008720.1	Escherichia	1544	typical plasmid	No	
GCF_001485455.1-NZ_CP008721.1	Escherichia	1459	typical plasmid	No	
GCF_001513615.1-NZ_CP013831.1	Escherichia	5073822	typical chromosome	No	
GCF_001513615.1-NZ_CP013832.1	Escherichia	145221	typical plasmid	No	
GCF_001513635.1-NZ_CP013835.1	Escherichia	5128614	typical chromosome	No	
GCF_001513635.1-NZ_CP013833.1	Escherichia	126302	typical plasmid	No	
GCF_001513635.1-NZ_CP013834.1	Escherichia	62183	typical plasmid	No	
GCF_001515725.1-NZ_CP007491.1	Escherichia	4879931	typical chromosome	No	
GCF_001549955.1-NZ_AP014857.1	Escherichia	4657167	typical chromosome	No	
GCF_001566615.1-NZ_CP014495.1	Escherichia	5061821	typical chromosome	No	
GCF_001566615.1-NZ_CP014496.1	Escherichia	114223	typical plasmid	No	
GCF_001566635.1-NZ_CP014488.1	Escherichia	4897758	typical chromosome	No	
GCF_001566635.1-NZ_CP014489.1	Escherichia	149732	typical plasmid	No	
GCF_001566635.1-NZ_CP014490.1	Escherichia	109910	typical plasmid	No	
GCF_001566635.1-NZ_CP014491.1	Escherichia	62572	typical plasmid	No	
GCF_001566675.1-NZ_CP014497.1	Escherichia	5046610	typical chromosome	No	
GCF_001566675.1-NZ_CP014498.1	Escherichia	209768	typical plasmid	No	
GCF_001577325.1-NZ_CP014522.1	Escherichia	5033359	typical chromosome	No	
GCF_001577325.1-NZ_CP014523.1	Escherichia	114223	typical plasmid	No	
GCF_001577325.1-NZ_CP014524.1	Escherichia	49467	typical plasmid	No	
GCF_001612475.1-NZ_CP015020.1	Escherichia	5561698	typical chromosome	No	
GCF_001612475.1-NZ_CP015021.1	Escherichia	81401	typical plasmid	No	
GCF_001612495.1-NZ_CP015023.1	Escherichia	5506801	typical chromosome	No	
GCF_001612495.1-NZ_CP015022.1	Escherichia	95170	typical plasmid	No	
GCF_001617565.1-NZ_CP015138.1	Escherichia	5009900	typical chromosome	No	
GCF_001617565.1-NZ_CP015140.1	Escherichia	129154	typical plasmid	No	
GCF_001617565.1-NZ_CP015141.1	Escherichia	82588	typical plasmid	No	
GCF_001617565.1-NZ_CP015142.1	Escherichia	4072	typical plasmid	No	
GCF_001617565.1-NZ_CP015143.1	Escherichia	1549	typical plasmid	No	
GCF_001617565.1-NZ_CP015144.1	Escherichia	4204	typical plasmid	No	
GCF_001617565.1-NZ_CP015139.1	Escherichia	186826	typical plasmid	No	
GCF_001618325.1-NZ_CP015069.1	Escherichia	4856574	typical chromosome	No	
GCF_001618325.1-NZ_CP015070.1	Escherichia	111851	typical plasmid	No	
GCF_001618325.1-NZ_CP015072.1	Escherichia	65196	typical plasmid	No	
GCF_001618325.1-NZ_CP015073.1	Escherichia	37000	typical plasmid	No	
GCF_001618325.1-NZ_CP015071.1	Escherichia	69471	typical plasmid	No	
GCF_001618345.2-NZ_CP015074.2	Escherichia	4977366	typical chromosome	No	
GCF_001618345.2-NZ_CP015075.2	Escherichia	63544	typical plasmid	No	
GCF_001618365.1-NZ_CP015076.1	Escherichia	5007393	typical chromosome	No	
GCF_001618365.1-NZ_CP015077.1	Escherichia	133735	typical plasmid	No	
GCF_001618365.1-NZ_CP015078.1	Escherichia	71170	typical plasmid	No	
GCF_001644725.1-NZ_CP015240.1	Escherichia	4863599	typical chromosome	No	
GCF_001644725.1-NZ_CP015239.1	Escherichia	125977	typical plasmid	No	
GCF_001644745.1-NZ_CP015241.1	Escherichia	5428937	typical chromosome	No	
GCF_001644745.1-NZ_CP015242.1	Escherichia	66029	typical plasmid	No	
GCF_001645235.2-NZ_CP024479.1	Escherichia	5336099	typical chromosome	No	
GCF_001645235.2-NZ_CP024480.1	Escherichia	77062	typical plasmid	No	
GCF_001645235.2-NZ_CP024481.1	Escherichia	105489	typical plasmid	No	
GCF_001660565.1-NZ_CP015995.1	Escherichia	4994918	typical chromosome	No	
