contig	organism	genus	size	plasmidness-original	plasmidness-pident_90	plasmidness-pident_95	original category	category-pident_90	GC_content	topology
GCF_000512125.1-NZ_CP007025.1	Escherichia albertii	Escherichia	4701875	0.0073279889656343	0.0069470762301202	0.0054060314223415	chromosome	typical chromosome	0.4969617439851123	circular
GCF_000597845.1-NZ_CP007265.1	Escherichia coli	Escherichia	4758629	0.0260343642596693	0.0258637527354843	0.0259333034902903	chromosome	typical chromosome	0.5110640060403953	circular
GCF_000599625.1-NZ_CP007390.1	Escherichia coli	Escherichia	4807977	0.0267529677921297	0.026588037124709	0.0266650534022535	chromosome	typical chromosome	0.510370993871227	circular
GCF_000599645.1-NZ_CP007391.1	Escherichia coli	Escherichia	4875682	0.0262588155369947	0.0260229764005424	0.0260977414815756	chromosome	typical chromosome	0.5102192882964885	circular
GCF_000599665.1-NZ_CP007392.1	Escherichia coli	Escherichia	5054509	0.028395502243715	0.0266643345107204	0.0225457699138239	chromosome	typical chromosome	0.5065314949483718	circular
GCF_000599685.1-NZ_CP007393.1	Escherichia coli	Escherichia	4998910	0.0209054200708777	0.020557058276902	0.0187862711547534	chromosome	typical chromosome	0.5065310237631804	circular
GCF_000599705.1-NZ_CP007394.1	Escherichia coli	Escherichia	5090442	0.0255040171498699	0.0255754083676298	0.0235415954943249	chromosome	typical chromosome	0.507826235914288	circular
GCF_000784925.1-NZ_CP009859.1	Escherichia coli	Escherichia	5310511	0.004646713374996	0.0040526425064443	0.0035982382040906	chromosome	typical chromosome	0.503709341718716	circular
GCF_000784925.1-NZ_CP009861.1	Escherichia coli	Escherichia	47560	0.88799587509313	0.9056977294317224	0.9168527789466902	plasmid	typical plasmid	0.4455845248107653	circular
GCF_000784925.1-NZ_CP009862.1	Escherichia coli	Escherichia	80186	0.9228366502488056	0.9337356988148444	0.9408169928779152	plasmid	typical plasmid	0.5396453246202579	circular
GCF_000784925.1-NZ_CP009860.1	Escherichia coli	Escherichia	121385	0.8538240604226729	0.8536120776211836	0.8618377500713744	plasmid	typical plasmid	0.5188697120731557	circular
GCF_000801165.1-NZ_CP009104.1	Escherichia coli	Escherichia	4827630	0.0017623129840839	0.0013535068458844	0.0012208862743589	chromosome	typical chromosome	0.5075834312074454	circular
GCF_000801165.1-NZ_CP009105.1	Escherichia coli	Escherichia	168318	0.8351530218241912	0.861369257133415	0.8993727313388268	plasmid	typical plasmid	0.494415332881807	circular
