plasmid_id	size	source_type	ecosystem	host_taxonomy	genus	putatively_complete	topology	plasmidness-original	plasmidness-pident_90	plasmidness-pident_95	category-pident_90	predicted_mobility	AMR_type
IMGPR_plasmid_3300053491_000214	4197	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	Yes	Direct terminal repeat	0.9998021720453324	0.9997901899782732	0.9995391483783206	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300032124_000001	11258	Metagenome	Engineered;Lab enrichment;Defined media	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9897030480005586	0.9899162713832488	0.9898217129692428	typical plasmid	non-mobilizable	non-AMR
IMGPR_plasmid_3300039357_000001	9769	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9871992250951296	0.9860667248709168	0.9874961029701248	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300028482_000001	5173	Metagenome	Host-associated;Mammals;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9862755933529324	0.985517843556457	0.9856910750761988	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300039333_000001	5689	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.950878449907658	0.984623058652859	0.9833838943257638	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300013741_000001	5129	Metagenome	Engineered;Built environment;City;Subway;Metal surface	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.9873194283270365	0.987132959606244	0.9868644208405388	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300029186_000001	4463	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.926178159553868	0.924512883387284	0.9134599662109292	typical plasmid	non-mobilizable	non-AMR
IMGPR_plasmid_3300039313_000001	4943	Metagenome	Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	Escherichia	No	Linear	0.988956480292595	0.9889382439526336	0.9883503649322508	typical plasmid	conjugative	non-AMR
IMGPR_plasmid_3300053491_000604	3904	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.999733799489764	0.999707378710232	0.9996108895391614	typical plasmid	mobilizable	non-AMR
IMGPR_plasmid_3300053491_000605	3910	Metagenome	Engineered;Modeled;Simulated communities (contig mixture)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Escherichia	Yes	Direct terminal repeat	0.9997872942930476	0.9997744636186656	0.9996214831362898	typical plasmid	mobilizable	non-AMR
